ElfFairy Type,Cause of Malice,Motif Type,Ritual Object Type,Case Notes,Folk Notes
Male fairy (elf),Revenge,Three,Coal,NA,"Claimed her mother learned her skill from an elf man who had lain with her. Used paper and threads to stop a woman's husband from beating her. Used coin and red wax wrapped in cloth, to ensure marriages. The talisman was to be worn about the neck and when the desired partner was seen it was to be used to strike the face. Turned a new born baby three times, baby then died. Cured oxen by tying them with a collar/bridle. When they were released the person who released them took ill and died. Accused of bewitching doors/thresholds. Later either the next person to touch the door or animal to cross over, took ill and died. Took dead people's bones and rinsed them in water. The water was then used to cure a sick person and the bones to be thrown into the River Don. The river 'rumlit as all the hills hed fallin thairin'. Took burning coal at Hallowe'en and buried it in her yard."
Male fairy (elf),Revenge,Three,Bridle/collar,NA,"Claimed her mother learned her skill from an elf man who had lain with her. Used paper and threads to stop a woman's husband from beating her. Used coin and red wax wrapped in cloth, to ensure marriages. The talisman was to be worn about the neck and when the desired partner was seen it was to be used to strike the face. Turned a new born baby three times, baby then died. Cured oxen by tying them with a collar/bridle. When they were released the person who released them took ill and died. Accused of bewitching doors/thresholds. Later either the next person to touch the door or animal to cross over, took ill and died. Took dead people's bones and rinsed them in water. The water was then used to cure a sick person and the bones to be thrown into the River Don. The river 'rumlit as all the hills hed fallin thairin'. Took burning coal at Hallowe'en and buried it in her yard."
Sunrise,Revenge,Three,Pottage,NA,"Claimed that she gave 'devilische potage' to a woman. She claimed it was brawn and jelly but the woman refused it otherwise she would have died. Witness claimed that she, or a devil in her likeness, appeared and vomited and spewed fyrie brunndes (brands) from her mouth. Accused of having gone three times to a stone, called the Curstane, at sunrise in May."
Sunrise,Revenge,Three,Stones,NA,"Claimed that she gave 'devilische potage' to a woman. She claimed it was brawn and jelly but the woman refused it otherwise she would have died. Witness claimed that she, or a devil in her likeness, appeared and vomited and spewed fyrie brunndes (brands) from her mouth. Accused of having gone three times to a stone, called the Curstane, at sunrise in May."
Sunrise,Refusal of alms,Three,Pottage,NA,"Claimed that she gave 'devilische potage' to a woman. She claimed it was brawn and jelly but the woman refused it otherwise she would have died. Witness claimed that she, or a devil in her likeness, appeared and vomited and spewed fyrie brunndes (brands) from her mouth. Accused of having gone three times to a stone, called the Curstane, at sunrise in May."
Sunrise,Refusal of alms,Three,Stones,NA,"Claimed that she gave 'devilische potage' to a woman. She claimed it was brawn and jelly but the woman refused it otherwise she would have died. Witness claimed that she, or a devil in her likeness, appeared and vomited and spewed fyrie brunndes (brands) from her mouth. Accused of having gone three times to a stone, called the Curstane, at sunrise in May."
Thorn Tree,Revenge,Three,Water,NA,"Many details about her healing rituals some of which used words in the form of prayers. Others involved complicated use of south running water, hair and nail trimmings, bannocks, and other objects."
Thorn Tree,Revenge,Three,Clothing,NA,"Many details about her healing rituals some of which used words in the form of prayers. Others involved complicated use of south running water, hair and nail trimmings, bannocks, and other objects."
Thorn Tree,Revenge,Three,Stones,NA,"Many details about her healing rituals some of which used words in the form of prayers. Others involved complicated use of south running water, hair and nail trimmings, bannocks, and other objects."
Thorn Tree,Revenge,Three,Nail trimmings,NA,"Many details about her healing rituals some of which used words in the form of prayers. Others involved complicated use of south running water, hair and nail trimmings, bannocks, and other objects."
Thorn Tree,Revenge,Three,Bannock,NA,"Many details about her healing rituals some of which used words in the form of prayers. Others involved complicated use of south running water, hair and nail trimmings, bannocks, and other objects."
Thorn Tree,Revenge,Three,Hair,NA,"Many details about her healing rituals some of which used words in the form of prayers. Others involved complicated use of south running water, hair and nail trimmings, bannocks, and other objects."
Thorn Tree,Failed healing,Three,Water,NA,"Many details about her healing rituals some of which used words in the form of prayers. Others involved complicated use of south running water, hair and nail trimmings, bannocks, and other objects."
Thorn Tree,Failed healing,Three,Clothing,NA,"Many details about her healing rituals some of which used words in the form of prayers. Others involved complicated use of south running water, hair and nail trimmings, bannocks, and other objects."
Thorn Tree,Failed healing,Three,Stones,NA,"Many details about her healing rituals some of which used words in the form of prayers. Others involved complicated use of south running water, hair and nail trimmings, bannocks, and other objects."
Thorn Tree,Failed healing,Three,Nail trimmings,NA,"Many details about her healing rituals some of which used words in the form of prayers. Others involved complicated use of south running water, hair and nail trimmings, bannocks, and other objects."
Thorn Tree,Failed healing,Three,Bannock,NA,"Many details about her healing rituals some of which used words in the form of prayers. Others involved complicated use of south running water, hair and nail trimmings, bannocks, and other objects."
Thorn Tree,Failed healing,Three,Hair,NA,"Many details about her healing rituals some of which used words in the form of prayers. Others involved complicated use of south running water, hair and nail trimmings, bannocks, and other objects."
Thorn Tree,Revenge,Trinity,Water,NA,"Many details about her healing rituals some of which used words in the form of prayers. Others involved complicated use of south running water, hair and nail trimmings, bannocks, and other objects."
Thorn Tree,Revenge,Trinity,Clothing,NA,"Many details about her healing rituals some of which used words in the form of prayers. Others involved complicated use of south running water, hair and nail trimmings, bannocks, and other objects."
Thorn Tree,Revenge,Trinity,Stones,NA,"Many details about her healing rituals some of which used words in the form of prayers. Others involved complicated use of south running water, hair and nail trimmings, bannocks, and other objects."
Thorn Tree,Revenge,Trinity,Nail trimmings,NA,"Many details about her healing rituals some of which used words in the form of prayers. Others involved complicated use of south running water, hair and nail trimmings, bannocks, and other objects."
Thorn Tree,Revenge,Trinity,Bannock,NA,"Many details about her healing rituals some of which used words in the form of prayers. Others involved complicated use of south running water, hair and nail trimmings, bannocks, and other objects."
Thorn Tree,Revenge,Trinity,Hair,NA,"Many details about her healing rituals some of which used words in the form of prayers. Others involved complicated use of south running water, hair and nail trimmings, bannocks, and other objects."
Thorn Tree,Failed healing,Trinity,Water,NA,"Many details about her healing rituals some of which used words in the form of prayers. Others involved complicated use of south running water, hair and nail trimmings, bannocks, and other objects."
Thorn Tree,Failed healing,Trinity,Clothing,NA,"Many details about her healing rituals some of which used words in the form of prayers. Others involved complicated use of south running water, hair and nail trimmings, bannocks, and other objects."
Thorn Tree,Failed healing,Trinity,Stones,NA,"Many details about her healing rituals some of which used words in the form of prayers. Others involved complicated use of south running water, hair and nail trimmings, bannocks, and other objects."
Thorn Tree,Failed healing,Trinity,Nail trimmings,NA,"Many details about her healing rituals some of which used words in the form of prayers. Others involved complicated use of south running water, hair and nail trimmings, bannocks, and other objects."
Thorn Tree,Failed healing,Trinity,Bannock,NA,"Many details about her healing rituals some of which used words in the form of prayers. Others involved complicated use of south running water, hair and nail trimmings, bannocks, and other objects."
Thorn Tree,Failed healing,Trinity,Hair,NA,"Many details about her healing rituals some of which used words in the form of prayers. Others involved complicated use of south running water, hair and nail trimmings, bannocks, and other objects."
Thorn Tree,Revenge,Prayer,Water,NA,"Many details about her healing rituals some of which used words in the form of prayers. Others involved complicated use of south running water, hair and nail trimmings, bannocks, and other objects."
Thorn Tree,Revenge,Prayer,Stones,NA,"Many details about her healing rituals some of which used words in the form of prayers. Others involved complicated use of south running water, hair and nail trimmings, bannocks, and other objects."
Thorn Tree,Revenge,Prayer,Nail trimmings,NA,"Many details about her healing rituals some of which used words in the form of prayers. Others involved complicated use of south running water, hair and nail trimmings, bannocks, and other objects."
Thorn Tree,Revenge,Prayer,Bannock,NA,"Many details about her healing rituals some of which used words in the form of prayers. Others involved complicated use of south running water, hair and nail trimmings, bannocks, and other objects."
Thorn Tree,Revenge,Prayer,Hair,NA,"Many details about her healing rituals some of which used words in the form of prayers. Others involved complicated use of south running water, hair and nail trimmings, bannocks, and other objects."
Thorn Tree,Failed healing,Prayer,Water,NA,"Many details about her healing rituals some of which used words in the form of prayers. Others involved complicated use of south running water, hair and nail trimmings, bannocks, and other objects."
Thorn Tree,Failed healing,Prayer,Clothing,NA,"Many details about her healing rituals some of which used words in the form of prayers. Others involved complicated use of south running water, hair and nail trimmings, bannocks, and other objects."
Thorn Tree,Failed healing,Prayer,Stones,NA,"Many details about her healing rituals some of which used words in the form of prayers. Others involved complicated use of south running water, hair and nail trimmings, bannocks, and other objects."
Thorn Tree,Failed healing,Prayer,Nail trimmings,NA,"Many details about her healing rituals some of which used words in the form of prayers. Others involved complicated use of south running water, hair and nail trimmings, bannocks, and other objects."
Thorn Tree,Failed healing,Prayer,Bannock,NA,"Many details about her healing rituals some of which used words in the form of prayers. Others involved complicated use of south running water, hair and nail trimmings, bannocks, and other objects."
Thorn Tree,Failed healing,Prayer,Hair,NA,"Many details about her healing rituals some of which used words in the form of prayers. Others involved complicated use of south running water, hair and nail trimmings, bannocks, and other objects."
Sunrise,Revenge,Three,Fire,NA,"Accused of going to someone's house at sunrise, then went three times withershins round the fire. It was claimed this act caused a neighbour's bear (meal) to go rotten and his oats did not grow. Accused of hitting a cow three times with the skirt of her coat (?)."
Thorn Tree,NA,Bible,Plant,NA,"Foxtree leaves (foxglove) used to cure sickness. The consulter was told to take her mother to a certain place, wash her and use foxtree leaves, and leave the sickness at the place where she got it.  She diagnosed an illness as possibly related to the fairries having taken his tongue, if this was true she could be no help to him.  But he should try foxtree leaves and S. running water.  She gripped a child and told them to keep it close and away from the minister.  Diagnosed a child with 'Ferrie blast'.  She did a cure where the victim had to sit between three fires.  A ritual with smoke and fire to get a man out of a witch's grip.  Again told to keep it close especially from the minister.  Advised to keep the bible near for a cure for distempter.  She said a man became ill after digging up a thorn tree.  She diagnosed bewitchings as caused by Kirkcudbright and Dumfries witches (told the victims to get 3 stopings of straw from the witches' roof and burn them)."
Thorn Tree,NA,Bible,Salve,NA,"Foxtree leaves (foxglove) used to cure sickness. The consulter was told to take her mother to a certain place, wash her and use foxtree leaves, and leave the sickness at the place where she got it.  She diagnosed an illness as possibly related to the fairries having taken his tongue, if this was true she could be no help to him.  But he should try foxtree leaves and S. running water.  She gripped a child and told them to keep it close and away from the minister.  Diagnosed a child with 'Ferrie blast'.  She did a cure where the victim had to sit between three fires.  A ritual with smoke and fire to get a man out of a witch's grip.  Again told to keep it close especially from the minister.  Advised to keep the bible near for a cure for distempter.  She said a man became ill after digging up a thorn tree.  She diagnosed bewitchings as caused by Kirkcudbright and Dumfries witches (told the victims to get 3 stopings of straw from the witches' roof and burn them)."
Thorn Tree,NA,Bible,Water,NA,"Foxtree leaves (foxglove) used to cure sickness. The consulter was told to take her mother to a certain place, wash her and use foxtree leaves, and leave the sickness at the place where she got it.  She diagnosed an illness as possibly related to the fairries having taken his tongue, if this was true she could be no help to him.  But he should try foxtree leaves and S. running water.  She gripped a child and told them to keep it close and away from the minister.  Diagnosed a child with 'Ferrie blast'.  She did a cure where the victim had to sit between three fires.  A ritual with smoke and fire to get a man out of a witch's grip.  Again told to keep it close especially from the minister.  Advised to keep the bible near for a cure for distempter.  She said a man became ill after digging up a thorn tree.  She diagnosed bewitchings as caused by Kirkcudbright and Dumfries witches (told the victims to get 3 stopings of straw from the witches' roof and burn them)."
Thorn Tree,NA,Bible,Fire,NA,"Foxtree leaves (foxglove) used to cure sickness. The consulter was told to take her mother to a certain place, wash her and use foxtree leaves, and leave the sickness at the place where she got it.  She diagnosed an illness as possibly related to the fairries having taken his tongue, if this was true she could be no help to him.  But he should try foxtree leaves and S. running water.  She gripped a child and told them to keep it close and away from the minister.  Diagnosed a child with 'Ferrie blast'.  She did a cure where the victim had to sit between three fires.  A ritual with smoke and fire to get a man out of a witch's grip.  Again told to keep it close especially from the minister.  Advised to keep the bible near for a cure for distempter.  She said a man became ill after digging up a thorn tree.  She diagnosed bewitchings as caused by Kirkcudbright and Dumfries witches (told the victims to get 3 stopings of straw from the witches' roof and burn them)."
Thorn Tree,NA,Bible,Smoke,NA,"Foxtree leaves (foxglove) used to cure sickness. The consulter was told to take her mother to a certain place, wash her and use foxtree leaves, and leave the sickness at the place where she got it.  She diagnosed an illness as possibly related to the fairries having taken his tongue, if this was true she could be no help to him.  But he should try foxtree leaves and S. running water.  She gripped a child and told them to keep it close and away from the minister.  Diagnosed a child with 'Ferrie blast'.  She did a cure where the victim had to sit between three fires.  A ritual with smoke and fire to get a man out of a witch's grip.  Again told to keep it close especially from the minister.  Advised to keep the bible near for a cure for distempter.  She said a man became ill after digging up a thorn tree.  She diagnosed bewitchings as caused by Kirkcudbright and Dumfries witches (told the victims to get 3 stopings of straw from the witches' roof and burn them)."
Thorn Tree,NA,Bible,Belt,NA,"Foxtree leaves (foxglove) used to cure sickness. The consulter was told to take her mother to a certain place, wash her and use foxtree leaves, and leave the sickness at the place where she got it.  She diagnosed an illness as possibly related to the fairries having taken his tongue, if this was true she could be no help to him.  But he should try foxtree leaves and S. running water.  She gripped a child and told them to keep it close and away from the minister.  Diagnosed a child with 'Ferrie blast'.  She did a cure where the victim had to sit between three fires.  A ritual with smoke and fire to get a man out of a witch's grip.  Again told to keep it close especially from the minister.  Advised to keep the bible near for a cure for distempter.  She said a man became ill after digging up a thorn tree.  She diagnosed bewitchings as caused by Kirkcudbright and Dumfries witches (told the victims to get 3 stopings of straw from the witches' roof and burn them)."
Thorn Tree,NA,Bible,Straw,NA,"Foxtree leaves (foxglove) used to cure sickness. The consulter was told to take her mother to a certain place, wash her and use foxtree leaves, and leave the sickness at the place where she got it.  She diagnosed an illness as possibly related to the fairries having taken his tongue, if this was true she could be no help to him.  But he should try foxtree leaves and S. running water.  She gripped a child and told them to keep it close and away from the minister.  Diagnosed a child with 'Ferrie blast'.  She did a cure where the victim had to sit between three fires.  A ritual with smoke and fire to get a man out of a witch's grip.  Again told to keep it close especially from the minister.  Advised to keep the bible near for a cure for distempter.  She said a man became ill after digging up a thorn tree.  She diagnosed bewitchings as caused by Kirkcudbright and Dumfries witches (told the victims to get 3 stopings of straw from the witches' roof and burn them)."
Fairy Blast,NA,Bible,Plant,NA,"Foxtree leaves (foxglove) used to cure sickness. The consulter was told to take her mother to a certain place, wash her and use foxtree leaves, and leave the sickness at the place where she got it.  She diagnosed an illness as possibly related to the fairries having taken his tongue, if this was true she could be no help to him.  But he should try foxtree leaves and S. running water.  She gripped a child and told them to keep it close and away from the minister.  Diagnosed a child with 'Ferrie blast'.  She did a cure where the victim had to sit between three fires.  A ritual with smoke and fire to get a man out of a witch's grip.  Again told to keep it close especially from the minister.  Advised to keep the bible near for a cure for distempter.  She said a man became ill after digging up a thorn tree.  She diagnosed bewitchings as caused by Kirkcudbright and Dumfries witches (told the victims to get 3 stopings of straw from the witches' roof and burn them)."
Fairy Blast,NA,Bible,Salve,NA,"Foxtree leaves (foxglove) used to cure sickness. The consulter was told to take her mother to a certain place, wash her and use foxtree leaves, and leave the sickness at the place where she got it.  She diagnosed an illness as possibly related to the fairries having taken his tongue, if this was true she could be no help to him.  But he should try foxtree leaves and S. running water.  She gripped a child and told them to keep it close and away from the minister.  Diagnosed a child with 'Ferrie blast'.  She did a cure where the victim had to sit between three fires.  A ritual with smoke and fire to get a man out of a witch's grip.  Again told to keep it close especially from the minister.  Advised to keep the bible near for a cure for distempter.  She said a man became ill after digging up a thorn tree.  She diagnosed bewitchings as caused by Kirkcudbright and Dumfries witches (told the victims to get 3 stopings of straw from the witches' roof and burn them)."
Fairy Blast,NA,Bible,Water,NA,"Foxtree leaves (foxglove) used to cure sickness. The consulter was told to take her mother to a certain place, wash her and use foxtree leaves, and leave the sickness at the place where she got it.  She diagnosed an illness as possibly related to the fairries having taken his tongue, if this was true she could be no help to him.  But he should try foxtree leaves and S. running water.  She gripped a child and told them to keep it close and away from the minister.  Diagnosed a child with 'Ferrie blast'.  She did a cure where the victim had to sit between three fires.  A ritual with smoke and fire to get a man out of a witch's grip.  Again told to keep it close especially from the minister.  Advised to keep the bible near for a cure for distempter.  She said a man became ill after digging up a thorn tree.  She diagnosed bewitchings as caused by Kirkcudbright and Dumfries witches (told the victims to get 3 stopings of straw from the witches' roof and burn them)."
Fairy Blast,NA,Bible,Fire,NA,"Foxtree leaves (foxglove) used to cure sickness. The consulter was told to take her mother to a certain place, wash her and use foxtree leaves, and leave the sickness at the place where she got it.  She diagnosed an illness as possibly related to the fairries having taken his tongue, if this was true she could be no help to him.  But he should try foxtree leaves and S. running water.  She gripped a child and told them to keep it close and away from the minister.  Diagnosed a child with 'Ferrie blast'.  She did a cure where the victim had to sit between three fires.  A ritual with smoke and fire to get a man out of a witch's grip.  Again told to keep it close especially from the minister.  Advised to keep the bible near for a cure for distempter.  She said a man became ill after digging up a thorn tree.  She diagnosed bewitchings as caused by Kirkcudbright and Dumfries witches (told the victims to get 3 stopings of straw from the witches' roof and burn them)."
Fairy Blast,NA,Bible,Smoke,NA,"Foxtree leaves (foxglove) used to cure sickness. The consulter was told to take her mother to a certain place, wash her and use foxtree leaves, and leave the sickness at the place where she got it.  She diagnosed an illness as possibly related to the fairries having taken his tongue, if this was true she could be no help to him.  But he should try foxtree leaves and S. running water.  She gripped a child and told them to keep it close and away from the minister.  Diagnosed a child with 'Ferrie blast'.  She did a cure where the victim had to sit between three fires.  A ritual with smoke and fire to get a man out of a witch's grip.  Again told to keep it close especially from the minister.  Advised to keep the bible near for a cure for distempter.  She said a man became ill after digging up a thorn tree.  She diagnosed bewitchings as caused by Kirkcudbright and Dumfries witches (told the victims to get 3 stopings of straw from the witches' roof and burn them)."
Fairy Blast,NA,Bible,Belt,NA,"Foxtree leaves (foxglove) used to cure sickness. The consulter was told to take her mother to a certain place, wash her and use foxtree leaves, and leave the sickness at the place where she got it.  She diagnosed an illness as possibly related to the fairries having taken his tongue, if this was true she could be no help to him.  But he should try foxtree leaves and S. running water.  She gripped a child and told them to keep it close and away from the minister.  Diagnosed a child with 'Ferrie blast'.  She did a cure where the victim had to sit between three fires.  A ritual with smoke and fire to get a man out of a witch's grip.  Again told to keep it close especially from the minister.  Advised to keep the bible near for a cure for distempter.  She said a man became ill after digging up a thorn tree.  She diagnosed bewitchings as caused by Kirkcudbright and Dumfries witches (told the victims to get 3 stopings of straw from the witches' roof and burn them)."
Fairy Blast,NA,Bible,Straw,NA,"Foxtree leaves (foxglove) used to cure sickness. The consulter was told to take her mother to a certain place, wash her and use foxtree leaves, and leave the sickness at the place where she got it.  She diagnosed an illness as possibly related to the fairries having taken his tongue, if this was true she could be no help to him.  But he should try foxtree leaves and S. running water.  She gripped a child and told them to keep it close and away from the minister.  Diagnosed a child with 'Ferrie blast'.  She did a cure where the victim had to sit between three fires.  A ritual with smoke and fire to get a man out of a witch's grip.  Again told to keep it close especially from the minister.  Advised to keep the bible near for a cure for distempter.  She said a man became ill after digging up a thorn tree.  She diagnosed bewitchings as caused by Kirkcudbright and Dumfries witches (told the victims to get 3 stopings of straw from the witches' roof and burn them)."
Thorn Tree,NA,Three,Plant,NA,"Foxtree leaves (foxglove) used to cure sickness. The consulter was told to take her mother to a certain place, wash her and use foxtree leaves, and leave the sickness at the place where she got it.  She diagnosed an illness as possibly related to the fairries having taken his tongue, if this was true she could be no help to him.  But he should try foxtree leaves and S. running water.  She gripped a child and told them to keep it close and away from the minister.  Diagnosed a child with 'Ferrie blast'.  She did a cure where the victim had to sit between three fires.  A ritual with smoke and fire to get a man out of a witch's grip.  Again told to keep it close especially from the minister.  Advised to keep the bible near for a cure for distempter.  She said a man became ill after digging up a thorn tree.  She diagnosed bewitchings as caused by Kirkcudbright and Dumfries witches (told the victims to get 3 stopings of straw from the witches' roof and burn them)."
Thorn Tree,NA,Three,Salve,NA,"Foxtree leaves (foxglove) used to cure sickness. The consulter was told to take her mother to a certain place, wash her and use foxtree leaves, and leave the sickness at the place where she got it.  She diagnosed an illness as possibly related to the fairries having taken his tongue, if this was true she could be no help to him.  But he should try foxtree leaves and S. running water.  She gripped a child and told them to keep it close and away from the minister.  Diagnosed a child with 'Ferrie blast'.  She did a cure where the victim had to sit between three fires.  A ritual with smoke and fire to get a man out of a witch's grip.  Again told to keep it close especially from the minister.  Advised to keep the bible near for a cure for distempter.  She said a man became ill after digging up a thorn tree.  She diagnosed bewitchings as caused by Kirkcudbright and Dumfries witches (told the victims to get 3 stopings of straw from the witches' roof and burn them)."
Thorn Tree,NA,Three,Water,NA,"Foxtree leaves (foxglove) used to cure sickness. The consulter was told to take her mother to a certain place, wash her and use foxtree leaves, and leave the sickness at the place where she got it.  She diagnosed an illness as possibly related to the fairries having taken his tongue, if this was true she could be no help to him.  But he should try foxtree leaves and S. running water.  She gripped a child and told them to keep it close and away from the minister.  Diagnosed a child with 'Ferrie blast'.  She did a cure where the victim had to sit between three fires.  A ritual with smoke and fire to get a man out of a witch's grip.  Again told to keep it close especially from the minister.  Advised to keep the bible near for a cure for distempter.  She said a man became ill after digging up a thorn tree.  She diagnosed bewitchings as caused by Kirkcudbright and Dumfries witches (told the victims to get 3 stopings of straw from the witches' roof and burn them)."
Thorn Tree,NA,Three,Fire,NA,"Foxtree leaves (foxglove) used to cure sickness. The consulter was told to take her mother to a certain place, wash her and use foxtree leaves, and leave the sickness at the place where she got it.  She diagnosed an illness as possibly related to the fairries having taken his tongue, if this was true she could be no help to him.  But he should try foxtree leaves and S. running water.  She gripped a child and told them to keep it close and away from the minister.  Diagnosed a child with 'Ferrie blast'.  She did a cure where the victim had to sit between three fires.  A ritual with smoke and fire to get a man out of a witch's grip.  Again told to keep it close especially from the minister.  Advised to keep the bible near for a cure for distempter.  She said a man became ill after digging up a thorn tree.  She diagnosed bewitchings as caused by Kirkcudbright and Dumfries witches (told the victims to get 3 stopings of straw from the witches' roof and burn them)."
Thorn Tree,NA,Three,Smoke,NA,"Foxtree leaves (foxglove) used to cure sickness. The consulter was told to take her mother to a certain place, wash her and use foxtree leaves, and leave the sickness at the place where she got it.  She diagnosed an illness as possibly related to the fairries having taken his tongue, if this was true she could be no help to him.  But he should try foxtree leaves and S. running water.  She gripped a child and told them to keep it close and away from the minister.  Diagnosed a child with 'Ferrie blast'.  She did a cure where the victim had to sit between three fires.  A ritual with smoke and fire to get a man out of a witch's grip.  Again told to keep it close especially from the minister.  Advised to keep the bible near for a cure for distempter.  She said a man became ill after digging up a thorn tree.  She diagnosed bewitchings as caused by Kirkcudbright and Dumfries witches (told the victims to get 3 stopings of straw from the witches' roof and burn them)."
Thorn Tree,NA,Three,Belt,NA,"Foxtree leaves (foxglove) used to cure sickness. The consulter was told to take her mother to a certain place, wash her and use foxtree leaves, and leave the sickness at the place where she got it.  She diagnosed an illness as possibly related to the fairries having taken his tongue, if this was true she could be no help to him.  But he should try foxtree leaves and S. running water.  She gripped a child and told them to keep it close and away from the minister.  Diagnosed a child with 'Ferrie blast'.  She did a cure where the victim had to sit between three fires.  A ritual with smoke and fire to get a man out of a witch's grip.  Again told to keep it close especially from the minister.  Advised to keep the bible near for a cure for distempter.  She said a man became ill after digging up a thorn tree.  She diagnosed bewitchings as caused by Kirkcudbright and Dumfries witches (told the victims to get 3 stopings of straw from the witches' roof and burn them)."
Thorn Tree,NA,Three,Straw,NA,"Foxtree leaves (foxglove) used to cure sickness. The consulter was told to take her mother to a certain place, wash her and use foxtree leaves, and leave the sickness at the place where she got it.  She diagnosed an illness as possibly related to the fairries having taken his tongue, if this was true she could be no help to him.  But he should try foxtree leaves and S. running water.  She gripped a child and told them to keep it close and away from the minister.  Diagnosed a child with 'Ferrie blast'.  She did a cure where the victim had to sit between three fires.  A ritual with smoke and fire to get a man out of a witch's grip.  Again told to keep it close especially from the minister.  Advised to keep the bible near for a cure for distempter.  She said a man became ill after digging up a thorn tree.  She diagnosed bewitchings as caused by Kirkcudbright and Dumfries witches (told the victims to get 3 stopings of straw from the witches' roof and burn them)."
Fairy Blast,NA,Three,Plant,NA,"Foxtree leaves (foxglove) used to cure sickness. The consulter was told to take her mother to a certain place, wash her and use foxtree leaves, and leave the sickness at the place where she got it.  She diagnosed an illness as possibly related to the fairries having taken his tongue, if this was true she could be no help to him.  But he should try foxtree leaves and S. running water.  She gripped a child and told them to keep it close and away from the minister.  Diagnosed a child with 'Ferrie blast'.  She did a cure where the victim had to sit between three fires.  A ritual with smoke and fire to get a man out of a witch's grip.  Again told to keep it close especially from the minister.  Advised to keep the bible near for a cure for distempter.  She said a man became ill after digging up a thorn tree.  She diagnosed bewitchings as caused by Kirkcudbright and Dumfries witches (told the victims to get 3 stopings of straw from the witches' roof and burn them)."
Fairy Blast,NA,Three,Salve,NA,"Foxtree leaves (foxglove) used to cure sickness. The consulter was told to take her mother to a certain place, wash her and use foxtree leaves, and leave the sickness at the place where she got it.  She diagnosed an illness as possibly related to the fairries having taken his tongue, if this was true she could be no help to him.  But he should try foxtree leaves and S. running water.  She gripped a child and told them to keep it close and away from the minister.  Diagnosed a child with 'Ferrie blast'.  She did a cure where the victim had to sit between three fires.  A ritual with smoke and fire to get a man out of a witch's grip.  Again told to keep it close especially from the minister.  Advised to keep the bible near for a cure for distempter.  She said a man became ill after digging up a thorn tree.  She diagnosed bewitchings as caused by Kirkcudbright and Dumfries witches (told the victims to get 3 stopings of straw from the witches' roof and burn them)."
Fairy Blast,NA,Three,Water,NA,"Foxtree leaves (foxglove) used to cure sickness. The consulter was told to take her mother to a certain place, wash her and use foxtree leaves, and leave the sickness at the place where she got it.  She diagnosed an illness as possibly related to the fairries having taken his tongue, if this was true she could be no help to him.  But he should try foxtree leaves and S. running water.  She gripped a child and told them to keep it close and away from the minister.  Diagnosed a child with 'Ferrie blast'.  She did a cure where the victim had to sit between three fires.  A ritual with smoke and fire to get a man out of a witch's grip.  Again told to keep it close especially from the minister.  Advised to keep the bible near for a cure for distempter.  She said a man became ill after digging up a thorn tree.  She diagnosed bewitchings as caused by Kirkcudbright and Dumfries witches (told the victims to get 3 stopings of straw from the witches' roof and burn them)."
Fairy Blast,NA,Three,Fire,NA,"Foxtree leaves (foxglove) used to cure sickness. The consulter was told to take her mother to a certain place, wash her and use foxtree leaves, and leave the sickness at the place where she got it.  She diagnosed an illness as possibly related to the fairries having taken his tongue, if this was true she could be no help to him.  But he should try foxtree leaves and S. running water.  She gripped a child and told them to keep it close and away from the minister.  Diagnosed a child with 'Ferrie blast'.  She did a cure where the victim had to sit between three fires.  A ritual with smoke and fire to get a man out of a witch's grip.  Again told to keep it close especially from the minister.  Advised to keep the bible near for a cure for distempter.  She said a man became ill after digging up a thorn tree.  She diagnosed bewitchings as caused by Kirkcudbright and Dumfries witches (told the victims to get 3 stopings of straw from the witches' roof and burn them)."
Fairy Blast,NA,Three,Smoke,NA,"Foxtree leaves (foxglove) used to cure sickness. The consulter was told to take her mother to a certain place, wash her and use foxtree leaves, and leave the sickness at the place where she got it.  She diagnosed an illness as possibly related to the fairries having taken his tongue, if this was true she could be no help to him.  But he should try foxtree leaves and S. running water.  She gripped a child and told them to keep it close and away from the minister.  Diagnosed a child with 'Ferrie blast'.  She did a cure where the victim had to sit between three fires.  A ritual with smoke and fire to get a man out of a witch's grip.  Again told to keep it close especially from the minister.  Advised to keep the bible near for a cure for distempter.  She said a man became ill after digging up a thorn tree.  She diagnosed bewitchings as caused by Kirkcudbright and Dumfries witches (told the victims to get 3 stopings of straw from the witches' roof and burn them)."
Fairy Blast,NA,Three,Belt,NA,"Foxtree leaves (foxglove) used to cure sickness. The consulter was told to take her mother to a certain place, wash her and use foxtree leaves, and leave the sickness at the place where she got it.  She diagnosed an illness as possibly related to the fairries having taken his tongue, if this was true she could be no help to him.  But he should try foxtree leaves and S. running water.  She gripped a child and told them to keep it close and away from the minister.  Diagnosed a child with 'Ferrie blast'.  She did a cure where the victim had to sit between three fires.  A ritual with smoke and fire to get a man out of a witch's grip.  Again told to keep it close especially from the minister.  Advised to keep the bible near for a cure for distempter.  She said a man became ill after digging up a thorn tree.  She diagnosed bewitchings as caused by Kirkcudbright and Dumfries witches (told the victims to get 3 stopings of straw from the witches' roof and burn them)."
